Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
05-Feb-2016 14:26:27,297.75,328.15,0.630149,0.895292,34.2035,9.8,0,0.03,NaN
05-Feb-2016 14:26:28,297.55,328.4,0.696344,0.87458,33.7046,9.8,0,0.03,NaN
05-Feb-2016 14:26:29,297.7,328.15,0.680843,0.895515,32.7536,9.4,0,0.03,NaN
05-Feb-2016 14:26:30,297.7,328.1,0.701426,0.895515,35.9486,10.3,0,0.03,NaN
05-Feb-2016 14:26:31,297.65,328.1,0.685925,0.873828,34.1474,9.8,0,0.03,NaN
05-Feb-2016 14:26:32,297.75,328.1,0.727472,0.896581,34.9591,10,0,0.03,NaN
05-Feb-2016 14:26:33,297.75,328.1,0.748308,0.874046,34.6095,9.9,0,0.03,NaN
05-Feb-2016 14:26:34,297.7,328.15,0.726201,0.895761,35.1927,10.1,0,0.03,NaN
05-Feb-2016 14:26:35,297.5,328.05,0.705491,0.895068,34.0356,9.8,0,0.03,NaN
05-Feb-2016 14:26:36,297.65,328.05,0.746911,0.874193,38.3917,11,0,0.03,NaN
05-Feb-2016 14:26:37,297.7,328.05,0.746911,0.897419,38.455,11,0,0.03,NaN
05-Feb-2016 14:26:38,297.65,328.05,0.704221,0.896972,36.2976,10.4,0,0.03,NaN
05-Feb-2016 14:26:39,297.7,328.05,0.586062,0.895761,38.8046,11.1,0,0.03,NaN
05-Feb-2016 14:26:40,297.6,328.05,0.719721,0.895833,41.1162,11.8,0,0.03,NaN
05-Feb-2016 14:26:41,297.7,328.05,0.722263,0.873975,39.1542,11.2,0,0.03,NaN
05-Feb-2016 14:26:42,297.7,328.05,0.705491,0.895364,34.9591,10,0,0.03,NaN
05-Feb-2016 14:26:43,297.7,328.1,0.656194,0.895761,35.2506,10.1,0,0.03,NaN
05-Feb-2016 14:26:44,297.7,328.05,0.746911,0.895442,36.3574,10.4,0,0.03,NaN
05-Feb-2016 14:26:45,297.65,328.1,0.74564,0.894918,34.1474,9.8,0,0.03,NaN
05-Feb-2016 14:26:46,297.65,328.05,0.746911,0.873535,35.9486,10.3,0,0.03,NaN
05-Feb-2016 14:26:47,297.65,328.1,0.734078,0.894622,35.1927,10.1,0,0.03,NaN
05-Feb-2016 14:26:48,297.65,328.15,0.743099,0.894918,34.0914,9.8,0,0.03,NaN
05-Feb-2016 14:26:49,297.6,328.15,0.730013,0.894768,34.0356,9.8,0,0.03,NaN
05-Feb-2016 14:26:50,297.7,328.1,0.732808,0.895292,36.2976,10.4,0,0.03,NaN
05-Feb-2016 14:26:51,297.65,328.1,0.743099,0.87361,35.8896,10.3,0,0.03,NaN
05-Feb-2016 14:26:52,297.6,328.1,0.704221,0.89757,34.0914,9.8,0,0.03,NaN
05-Feb-2016 14:26:53,297.65,328.15,0.715783,0.896576,34.0914,9.8,0,0.03,NaN
05-Feb-2016 14:26:54,297.6,328.15,0.7107,0.873682,34.3829,9.9,0,0.03,NaN
05-Feb-2016 14:26:55,297.65,328.2,0.711971,0.895141,34.0356,9.8,0,0.03,NaN
05-Feb-2016 14:26:56,297.6,328.1,0.663945,0.89561,35.8308,10.3,0,0.03,NaN
05-Feb-2016 14:26:57,297.55,328.1,0.743099,0.873753,35.0775,10.1,0,0.03,NaN
05-Feb-2016 14:26:58,297.6,328.1,0.740558,0.897866,34.0914,9.8,0,0.03,NaN
05-Feb-2016 14:26:59,297.55,328.1,0.756058,0.873535,34.0356,9.8,0,0.03,NaN
05-Feb-2016 14:27:00,297.6,328.1,0.746911,0.894991,34.0914,9.8,0,0.03,NaN
05-Feb-2016 14:27:01,297.55,328.15,0.710701,0.89484,33.98,9.8,0,0.03,NaN
05-Feb-2016 14:27:02,297.55,328.15,0.708032,0.8739,33.98,9.8,0,0.03,NaN
05-Feb-2016 14:27:03,297.6,328.15,0.720992,0.89546,34.0356,9.8,0,0.03,NaN
05-Feb-2016 14:27:04,297.55,328.15,0.754661,0.873828,33.98,9.8,0,0.03,NaN
05-Feb-2016 14:27:05,297.5,328.15,0.731283,0.895064,34.2707,9.9,0,0.03,NaN
05-Feb-2016 14:27:06,297.6,328.1,0.667757,0.89546,35.135,10.1,0,0.03,NaN
05-Feb-2016 14:27:07,297.6,328.15,0.673093,0.8739,34.0356,9.8,0,0.03,NaN
05-Feb-2016 14:27:08,297.6,328.15,0.720992,0.895214,34.0356,9.8,0,0.03,NaN
05-Feb-2016 14:27:09,297.65,328.15,0.732808,0.874046,34.0914,9.8,0,0.03,NaN
05-Feb-2016 14:27:10,297.6,328.15,0.750849,0.895064,34.0356,9.8,0,0.03,NaN
05-Feb-2016 14:27:11,297.55,328.15,0.73916,0.873753,33.98,9.8,0,0.03,NaN
05-Feb-2016 14:27:12,297.55,328.15,0.720992,0.874935,33.98,9.8,0,0.03,NaN
05-Feb-2016 14:27:13,297.5,328.25,0.714512,0.894913,33.8142,9.8,0,0.03,NaN
05-Feb-2016 14:27:14,297.55,328.25,0.688593,0.895159,34.9061,10.1,0,0.03,NaN
05-Feb-2016 14:27:15,297.5,328.15,0.695073,0.89484,33.9246,9.8,0,0.03,NaN
05-Feb-2016 14:27:16,297.55,328.15,0.736619,0.895064,33.98,9.8,0,0.03,NaN
05-Feb-2016 14:27:17,297.5,328.15,0.673093,0.87421,33.9246,9.8,0,0.03,NaN
