Author,Material,w,w_e,w_mf,FG,T,p,d_p,rho_p,eps_mf,phi_s,d_t,p_h,p_v,w_p,h
Olsson,Silica,NaN,0.2,NaN,NaN,288.15,100000,0.0007,2648,0.46,0.8,0.02,0.06,0.1,0,239.460952435469
Olsson,Silica,NaN,0.2,NaN,NaN,288.15,200000,0.0007,2648,0.46,0.8,0.02,0.06,0.1,0,252.430411576231
Olsson,Silica,NaN,0.2,NaN,NaN,288.15,400000,0.0007,2648,0.46,0.8,0.02,0.06,0.1,0,295.168525577654
Olsson,Silica,NaN,0.2,NaN,NaN,288.15,800000,0.0007,2648,0.46,0.8,0.02,0.06,0.1,0,351.587811353031
Olsson,Silica,NaN,0.2,NaN,NaN,288.15,1600000,0.0007,2648,0.46,0.8,0.02,0.06,0.1,0,449.101571583792
Olsson,Silica,NaN,0.2,NaN,NaN,288.15,100000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,237.712197777185
Olsson,Silica,NaN,0.2,NaN,NaN,288.15,200000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,246.135203449915
Olsson,Silica,NaN,0.2,NaN,NaN,288.15,400000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,285.173817610508
Olsson,Silica,NaN,0.2,NaN,NaN,288.15,800000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,352.619919993192
Olsson,Silica,NaN,0.2,NaN,NaN,288.15,1600000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,467.691409962108
Olsson,Silica,NaN,0.6,NaN,NaN,288.15,100000,0.0007,2648,0.46,0.8,0.02,0.06,0.1,0,221.551046090931
Olsson,Silica,NaN,0.6,NaN,NaN,288.15,200000,0.0007,2648,0.46,0.8,0.02,0.06,0.1,0,231.6265534057
Olsson,Silica,NaN,0.6,NaN,NaN,288.15,400000,0.0007,2648,0.46,0.8,0.02,0.06,0.1,0,304.632688375015
Olsson,Silica,NaN,0.6,NaN,NaN,288.15,800000,0.0007,2648,0.46,0.8,0.02,0.06,0.1,0,379.290545854977
Olsson,Silica,NaN,0.6,NaN,NaN,288.15,1600000,0.0007,2648,0.46,0.8,0.02,0.06,0.1,0,475.255623721869
Olsson,Silica,NaN,0.6,NaN,NaN,288.15,100000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,207.011674630654
Olsson,Silica,NaN,0.6,NaN,NaN,288.15,200000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,229.174067390685
Olsson,Silica,NaN,0.6,NaN,NaN,288.15,400000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,295.715415742923
Olsson,Silica,NaN,0.6,NaN,NaN,288.15,800000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,374.022580913838
Olsson,Silica,NaN,0.6,NaN,NaN,288.15,1600000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,460.756912017761
Wiman,Silica,NaN,0.2,0.22,NaN,293.15,100000,0.00045,2648,0.46,0.8,0.02,0.06,0.05,0,280.536335369377
Wiman,Silica,NaN,0.2,0.2,NaN,293.15,200000,0.00045,2648,0.46,0.8,0.02,0.06,0.05,0,321.918681201635
Wiman,Silica,NaN,0.2,0.18,NaN,293.15,400000,0.00045,2648,0.46,0.8,0.02,0.06,0.05,0,364.240638096527
Wiman,Silica,NaN,0.2,0.15,NaN,293.15,800000,0.00045,2648,0.46,0.8,0.02,0.06,0.05,0,408.071937435735
Wiman,Silica,NaN,0.2,0.12,NaN,293.15,1600000,0.00045,2648,0.46,0.8,0.02,0.06,0.05,0,499.564295107354
Wiman,Silica,NaN,0.6,0.22,NaN,293.15,100000,0.00045,2648,0.46,0.8,0.02,0.06,0.05,0,293.086009677165
Wiman,Silica,NaN,0.6,0.2,NaN,293.15,200000,0.00045,2648,0.46,0.8,0.02,0.06,0.05,0,339.705021328797
Wiman,Silica,NaN,0.6,0.18,NaN,293.15,400000,0.00045,2648,0.46,0.8,0.02,0.06,0.05,0,366.818067760437
Wiman,Silica,NaN,0.6,0.15,NaN,293.15,800000,0.00045,2648,0.46,0.8,0.02,0.06,0.05,0,415.234692817149
Wiman,Silica,NaN,0.6,0.12,NaN,293.15,1600000,0.00045,2648,0.46,0.8,0.02,0.06,0.05,0,468.043364754129
Wiman,Silica,NaN,0.2,0.42,NaN,293.15,100000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,238.57882901818
Wiman,Silica,NaN,0.2,0.38,NaN,293.15,200000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,246.997969887264
Wiman,Silica,NaN,0.2,0.31,NaN,293.15,400000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,285.777976882863
Wiman,Silica,NaN,0.2,0.24,NaN,293.15,800000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,352.743058895396
Wiman,Silica,NaN,0.2,0.18,NaN,293.15,1600000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,467.027720968486
Wiman,Silica,NaN,0.6,0.42,NaN,293.15,100000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,209.906878472496
Wiman,Silica,NaN,0.6,0.38,NaN,293.15,200000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,231.943031536116
Wiman,Silica,NaN,0.6,0.31,NaN,293.15,400000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,297.30025823617
Wiman,Silica,NaN,0.6,0.24,NaN,293.15,800000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,374.990218326944
Wiman,Silica,NaN,0.6,0.18,NaN,293.15,1600000,0.0007,2648,0.46,0.8,0.02,0.06,0.05,0,460.755927693874
Wiman,Silica,NaN,0.2,0.22,NaN,293.15,100000,0.00045,2648,0.46,0.8,0.02,0.0425,0.05,0,276.403516756718
Wiman,Silica,NaN,0.2,0.2,NaN,293.15,200000,0.00045,2648,0.46,0.8,0.02,0.0425,0.05,0,305.553766776165
Wiman,Silica,NaN,0.2,0.18,NaN,293.15,400000,0.00045,2648,0.46,0.8,0.02,0.0425,0.05,0,316.24777952347
Wiman,Silica,NaN,0.2,0.15,NaN,293.15,800000,0.00045,2648,0.46,0.8,0.02,0.0425,0.05,0,338.675049938091
Wiman,Silica,NaN,0.2,0.12,NaN,293.15,1600000,0.00045,2648,0.46,0.8,0.02,0.0425,0.05,0,333.480444972867
Wiman,Silica,NaN,0.6,0.22,NaN,293.15,100000,0.00045,2648,0.46,0.8,0.02,0.0425,0.05,0,267.507692307693
Wiman,Silica,NaN,0.6,0.2,NaN,293.15,200000,0.00045,2648,0.46,0.8,0.02,0.0425,0.05,0,303.876923076923
Wiman,Silica,NaN,0.6,0.18,NaN,293.15,400000,0.00045,2648,0.46,0.8,0.02,0.0425,0.05,0,254.830769230769
Wiman,Silica,NaN,0.6,0.15,NaN,293.15,800000,0.00045,2648,0.46,0.8,0.02,0.0425,0.05,0,302.953846153846
Wiman,Silica,NaN,0.6,0.12,NaN,293.15,1600000,0.00045,2648,0.46,0.8,0.02,0.0425,0.05,0,368.492307692308
Wiman,Silica,NaN,0.2,0.42,NaN,293.15,100000,0.0007,2648,0.46,0.8,0.02,0.0425,0.05,0,234.253121627871
Wiman,Silica,NaN,0.2,0.38,NaN,293.15,200000,0.0007,2648,0.46,0.8,0.02,0.0425,0.05,0,243.379065823956
Wiman,Silica,NaN,0.2,0.31,NaN,293.15,400000,0.0007,2648,0.46,0.8,0.02,0.0425,0.05,0,283.027593648836
Wiman,Silica,NaN,0.2,0.24,NaN,293.15,800000,0.0007,2648,0.46,0.8,0.02,0.0425,0.05,0,312.563588715893
Wiman,Silica,NaN,0.2,0.18,NaN,293.15,1600000,0.0007,2648,0.46,0.8,0.02,0.0425,0.05,0,315.831663326653
Wiman,Silica,NaN,0.6,0.42,NaN,293.15,100000,0.0007,2648,0.46,0.8,0.02,0.0425,0.05,0,220.025034237716
Wiman,Silica,NaN,0.6,0.38,NaN,293.15,200000,0.0007,2648,0.46,0.8,0.02,0.0425,0.05,0,245.29163821928
Wiman,Silica,NaN,0.6,0.31,NaN,293.15,400000,0.0007,2648,0.46,0.8,0.02,0.0425,0.05,0,264.394727028537
Wiman,Silica,NaN,0.6,0.24,NaN,293.15,800000,0.0007,2648,0.46,0.8,0.02,0.0425,0.05,0,289.036782127419
Wiman,Silica,NaN,0.6,0.18,NaN,293.15,1600000,0.0007,2648,0.46,0.8,0.02,0.0425,0.05,0,373.779597047851
Hofer,Soda-lime glass,0.12,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.03,0.055,0.0275,0,378
Hofer,Soda-lime glass,0.23,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.03,0.055,0.0275,0,392
Hofer,Soda-lime glass,0.35,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.03,0.055,0.0275,0,391
Hofer,Soda-lime glass,0.47,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.03,0.055,0.0275,0,379
Hofer,Soda-lime glass,0.59,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.03,0.055,0.0275,0,387
Hofer,Soda-lime glass,0.7,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.03,0.055,0.0275,0,385
Hofer,Soda-lime glass,0.82,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.03,0.055,0.0275,0,370
Hofer,Soda-lime glass,0.12,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.025,0.055,0.0275,0,400
Hofer,Soda-lime glass,0.23,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.025,0.055,0.0275,0,429
Hofer,Soda-lime glass,0.35,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.025,0.055,0.0275,0,437
Hofer,Soda-lime glass,0.47,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.025,0.055,0.0275,0,438
Hofer,Soda-lime glass,0.59,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.025,0.055,0.0275,0,439
Hofer,Soda-lime glass,0.7,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.025,0.055,0.0275,0,424
Hofer,Soda-lime glass,0.82,NaN,NaN,NaN,300.340954932944,100000,0.000141952,2450,0.537982856474914,1,0.025,0.055,0.0275,0,404
