Run,P,Tsurf,Tsand,TCO2,hVirt,FG,mDotSand,mode
1,1086.47278542418,401.491606648763,331.343474578857,347.708672375149,493.007155244842,2.79449932611327,0.75,0
2,1600.4903015358,430.847620900472,330.918244934082,351.157494043421,509.812765661259,2.86172850544232,0.75,1
3,1086.70312679152,394.00099832286,326.383483886719,346.379005159387,511.568394542812,2.65054769437883,1.5,0
4,1678.26361830624,427.501959991455,327.218012746175,345.58048674972,532.698231379815,2.79345949375355,1.5,1
5,1087.57400662887,390.942738087972,327.081037394206,349.058721217403,542.090681330163,2.67163714854567,3,0
6,1784.43440158873,427.657645924886,327.679293823242,346.611074263961,568.160589351114,2.84265357856762,3,1
7,1083.40815959831,403.078185776533,330.666125022759,347.699429510946,476.247854873809,3.40503172587443,0.75,0
8,1521.28745806046,430.567421807183,330.61085679796,338.421882422176,484.460074467918,3.51644456629128,0.75,1
9,1085.50239395303,393.494247690837,325.983893839518,340.818857998318,511.822857477068,3.36563307827531,1.5,0
10,1707.83814531856,426.128516445641,326.172210180459,346.717079104184,543.905760870764,3.49960787978179,1.5,1
11,1081.97999492618,387.329240783187,326.321352367559,346.558228556315,564.552990982621,3.3134803332825,3,0
12,1842.96695512488,426.361045900455,326.40690524519,346.089981087509,586.992243314695,3.4186031959762,3,1
13,1087.22559533238,397.224007161458,329.027365366618,346.963937434444,507.469395420132,4.05717028061292,0.75,0
14,1663.86631069759,430.684868648135,330.014944405391,347.631394391407,526.123548921723,4.09433170751517,0.75,1
15,1088.62742909278,389.929428863525,326.491824086507,344.330088255141,546.247178871525,4.00960569844527,1.5,0
16,1824.29334183056,426.873815199908,326.41586406291,343.733271058668,578.120425305458,4.12586898893516,1.5,1
17,1091.28770820196,384.400245412191,325.208078257243,341.18854532595,586.859540386464,3.96659115765521,3,0
18,2009.70623489388,424.922149149577,324.87823638916,341.691504400748,639.485152723524,4.10442147912775,3,1
19,1088.95824151977,473.492121248164,396.687285072783,454.070034410381,451.309167748837,2.74045551616346,0.3,0
20,1423.8436513265,505.95896174113,405.530979919434,458.550943332248,451.303693899357,2.87693053710586,0.3,1
21,1097.96108042625,451.932450475772,384.022548707064,455.723942774693,514.649752791084,2.65727933022296,0.75,0
22,1717.08416954107,484.575426117713,384.458603289949,461.892585738723,545.927480896864,2.73184324027947,0.75,1
23,1099.18713804953,446.245156167936,382.840623871619,461.820913311614,551.826828648726,2.70560999086758,1.5,0
24,1772.00877016243,484.624967956543,384.669242095947,456.812304207131,564.298137493583,2.72032563226741,1.5,1
25,1088.94552051483,443.457918277457,385.191475103709,459.259348433734,594.896124103198,2.6407774350907,3,0
26,1938.40249583059,486.552896451549,386.572092777541,458.149955121209,617.201812340536,2.77149227233663,2.98525210084034,1
27,1087.05615001616,478.256676483154,395.601550547282,453.989454509594,418.638317275569,3.4125719048776,0.3,0
28,1346.89226252499,505.104458895597,404.991998341458,459.507711357628,428.249998013171,3.48747655699468,0.3,1
29,1090.66348691328,465.926553421662,395.299150739397,459.320020579847,491.550649134299,3.35055828269434,0.75,0
30,1623.19806991766,493.070903617795,393.41626566398,458.375229699627,518.476882819789,3.45292080677864,0.75,1
31,1091.99999101555,455.26535466512,392.012078094482,462.309906316687,549.530736283337,3.32760987229356,1.5,0
32,1747.41031163779,492.58060429891,392.438618977865,460.611638980442,555.448479373953,3.43012817174951,1.5,1
33,1097.15110601737,449.24442297671,392.688773788324,459.084373871619,617.50982554016,3.29065720170619,3,0
34,2004.27765162119,492.917702969638,392.61137750799,458.544970364041,636.112941206287,3.50312974399063,3,1
35,1100.37617748791,476.165595945248,400.524955812565,459.072673473236,463.098221939046,3.92708874538359,0.3,0
36,1530.5826048768,509.565136464437,409.56662419637,459.824180348714,487.260017755485,4.07382506405661,0.3,1
37,1099.89247652192,469.409386789697,398.902957753239,452.056542713712,496.562220703025,3.95346970215175,0.75,0
38,1616.05845751857,496.298313649495,396.103032684326,456.322050617359,513.445625702615,4.06550829613493,0.75,1
39,1105.51965802315,457.276624367454,394.837459494851,461.785451499862,563.610550631867,4.02524887927421,1.5,0
40,1813.91252123016,494.484336090088,394.767143503825,462.941939205594,579.032836475214,4.11413498252169,1.5,1
41,1103.47091315292,448.576132456462,395.015850830078,458.390403210675,655.806149952297,3.92183478802171,3,0
42,2083.86847332475,494.432969919841,394.276124572754,461.278116466381,662.296922784368,4.01861164862317,3,1
43,1823.57238291572,495.096616363525,395.279638671875,456.040628390842,581.527214469026,2.7687365555953,3,1
44,1098.23877590982,456.422166697184,394.413590240479,444.629962808114,563.762222595641,2.67114113374539,3,0
45,1713.45995556336,493.656452433268,393.829121144613,460.925688312672,546.354425477608,2.72958126546404,1.5,1
46,1094.39890967774,459.906335604393,394.707825482902,462.120201567742,534.30358275914,2.65336965963731,1.5,0
47,1695.57652031056,497.040514478497,397.349248549517,457.501420683019,541.390902050897,2.72220589960576,0.75,1
48,1096.173988505,465.291786840407,398.124247664112,461.398800504006,519.481876368549,2.68326412100887,0.75,0
49,1402.4440254519,508.244453938802,408.31745300293,464.706787420202,446.746059422693,2.84447413930868,0.3,1
50,1087.4851898376,493.294653320312,415.828755950928,460.871291294804,446.852225035543,2.86448083901907,0.3,0
51,1107.76573950141,490.269047292074,411.405821736654,576.181589366772,447.124020139159,2.55492117674839,0.3,0
52,1401.62961640343,525.884594616589,425.472942455395,575.193685836716,444.322929758502,2.61184006845205,0.3,1
53,1107.04940168377,471.121581261899,400.783176454175,576.916349272457,500.987775485786,2.48862724421994,0.75,0
54,1701.87510958356,508.093959299723,408.158271789551,576.528673412182,542.073893693321,2.57791516054066,0.75,1
55,1109.53085228354,484.065472412109,422.751644134521,574.643558530454,576.017712826506,2.61932783010421,1.5,0
56,1824.37014295309,528.380686337186,428.166532221529,580.968763269728,579.474993745438,2.66680670427843,1.5,1
57,1104.31572330357,489.786144765218,434.312038675944,578.404889029044,633.670611305363,2.59506382476444,3,0
58,1926.13774282741,537.841593424479,437.736048634847,572.959584723579,612.519495602361,2.95137864043677,2.985375,1
59,1104.21007145936,524.481368001302,439.828693898519,570.812185386375,415.252392243213,3.25122042473293,0.3,0
60,1361.05189468054,546.267408752441,446.204131571452,577.225594301577,432.975968583281,3.32873366664123,0.3,1
61,1105.37854012342,503.727973937988,435.048366038005,574.574656903302,512.31380024852,3.19453030617224,0.75,0
62,1653.53882945876,536.549227396647,436.813971964518,565.328392480921,527.740634188571,3.25898975129798,0.75,1
63,1105.70991035895,508.742823791504,446.827727762858,578.93917948405,568.455107224944,3.29309159931111,1.5,0
65,1133.32033506762,505.64319642652,450.792061172614,574.328873242005,657.695875760102,3.30962621117401,3,0
66,2099.91234308227,551.863959418403,451.577059493106,569.119033381651,666.522859350751,3.34433107452225,3,1
67,1805.1576521037,550.22191619873,450.284208933512,570.176144239638,575.026046235678,3.56408784073439,1.5,1
68,1128.06825935622,528.667122676455,450.633364973397,579.049690942289,460.180227810008,3.80320691610665,0.3,0
69,1455.80483614383,556.085163879394,456.174134063721,577.839559936523,463.828298954939,3.89306758684963,0.3,1
70,1128.22144467858,517.141612752279,446.970308939616,573.877434794108,511.78206243073,3.8846085257027,0.75,0
71,1671.03201032723,548.675217310588,449.122790018717,566.646660656399,534.292503509085,3.93956411871691,0.75,1
72,1126.40042972084,517.323896423844,456.438328262203,568.621548985953,588.898544886267,3.96174096241658,1.5,0
73,1880.03350836836,556.257548356257,456.132307036584,573.29428089758,597.700009416858,4.08499134954528,1.5,1
74,1131.986390746,510.455175018311,457.348341878255,570.826996301722,678.65294102924,3.96191012148035,3,0
75,2205.27198179079,557.119944069602,457.034926258434,568.536907095861,701.368788939108,3.9694591460985,3,1
