Author,Material,w,w_e,w_mf,FG,T_bed,p_bed,d_p,rho_p,eps_mf,phi_s,d_t,p_h,p_v,mDot_p,w_p,h
Eder,Soda-lime glass,0.12,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.03,0.055,0.0275,0,0,381.748601645812
Eder,Soda-lime glass,0.12,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.03,0.055,0.0275,0.0244444444444444,0.000835472097565946,370.601721115671
Eder,Soda-lime glass,0.12,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.03,0.055,0.0275,0.0572222222222222,0.00195576422839301,382.531972840343
Eder,Soda-lime glass,0.12,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.03,0.055,0.0275,0.0897222222222222,0.00306656235811137,379.077609180399
Eder,Soda-lime glass,0.04,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.03,0.055,0.0275,0,0,298.272818170028
Eder,Soda-lime glass,0.04,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.03,0.055,0.0275,0.0244444444444444,0.000835472097565946,296.100296614247
Eder,Soda-lime glass,0.04,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.03,0.055,0.0275,0.0572222222222222,0.00195576422839301,313.158753467124
Eder,Soda-lime glass,0.08,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.03,0.055,0.0275,0,0,360.950880848091
Eder,Soda-lime glass,0.08,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.03,0.055,0.0275,0.0244444444444444,0.000835472097565946,349.80420949584
Eder,Soda-lime glass,0.08,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.03,0.055,0.0275,0.0572222222222222,0.00195576422839301,356.606046914417
Eder,Soda-lime glass,0.08,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.03,0.055,0.0275,0.0897222222222222,0.00306656235811137,363.408093510884
Eder,Soda-lime glass,0.16,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.02,0.055,0.0275,0,0,437.304008973941
Eder,Soda-lime glass,0.16,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.02,0.055,0.0275,0.0244444444444444,0.000622926242152311,438.550273320107
Eder,Soda-lime glass,0.16,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.02,0.055,0.0275,0.0572222222222222,0.00145821370322018,467.574524724378
Eder,Soda-lime glass,0.16,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.02,0.055,0.0275,0.0897222222222222,0.00228642245699087,449.590229120102
Eder,Soda-lime glass,0.05,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.02,0.055,0.0275,0,0,338.44374963376
Eder,Soda-lime glass,0.05,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.02,0.055,0.0275,0.0244444444444444,0.000622926242152311,353.79257808249
Eder,Soda-lime glass,0.05,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.02,0.055,0.0275,0.0572222222222222,0.00145821370322018,351.62024829018
Eder,Soda-lime glass,0.05,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.02,0.055,0.0275,0.0897222222222222,0.00228642245699087,362.268431318382
Eder,Soda-lime glass,0.11,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.02,0.055,0.0275,0,0,410.950593100446
Eder,Soda-lime glass,0.11,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.02,0.055,0.0275,0.0244444444444444,0.000622926242152311,429.718434248307
Eder,Soda-lime glass,0.11,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.02,0.055,0.0275,0.0572222222222222,0.00145821370322018,425.409352319245
Eder,Soda-lime glass,0.11,NaN,0.017,NaN,NaN,100000,0.00013,2450,0.41,1,0.02,0.055,0.0275,0.0897222222222222,0.00228642245699087,425.801125091037
Grewal,Silica,0.0928165125500825,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.028575,0.0247466759131403,0,0,415.082138127307
Grewal,Silica,0.144061604855373,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.028575,0.0247466759131403,0,0,452.686996633588
Grewal,Silica,0.195887065955892,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.028575,0.0247466759131403,0,0,454.354787647539
Grewal,Silica,0.218671072061281,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.028575,0.0247466759131403,0,0,466.200380233809
Grewal,Silica,0.292517061326477,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.028575,0.0247466759131403,0,0,471.640591202245
Grewal,Silica,0.306263498840978,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.028575,0.0247466759131403,0,0,464.736960748401
Grewal,Silica,0.327763648396807,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.028575,0.0247466759131403,0,0,469.722184007306
Grewal,Silica,0.365599224022019,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.028575,0.0247466759131403,0,0,469.209514795803
Grewal,Silica,0.398756623200946,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.028575,0.0247466759131403,0,0,476.583796470489
Grewal,Silica,0.439204206823206,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.028575,0.0247466759131403,0,0,464.152438286594
Grewal,Silica,0.439973613896846,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.028575,0.0247466759131403,0,0,468.793561550969
Grewal,Silica,0.0928168613473633,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.05715,0.0494933518262807,0,0,414.880252870401
Grewal,Silica,0.144061953652654,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.05715,0.0494933518262807,0,0,452.485111376682
Grewal,Silica,0.194829567226238,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.05715,0.0494933518262807,0,0,466.470886587891
Grewal,Silica,0.246891151881342,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.05715,0.0494933518262807,0,0,481.462358676176
Grewal,Silica,0.304408341888814,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.05715,0.0494933518262807,0,0,488.564642233799
Grewal,Silica,0.304371371312938,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.05715,0.0494933518262807,0,0,509.964479465883
Grewal,Silica,0.355421844835831,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.05715,0.0494933518262807,0,0,510.221311325962
Grewal,Silica,0.356748601178365,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.05715,0.0494933518262807,0,0,492.249794053833
Grewal,Silica,0.400283578914031,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.05715,0.0494933518262807,0,0,492.730141734058
Grewal,Silica,0.436013574017334,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.05715,0.0494933518262807,0,0,510.998768466783
Grewal,Silica,0.093604056156464,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.085725,0.074240027739421,0,0,409.225228032547
Grewal,Silica,0.146159163460669,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.085725,0.074240027739421,0,0,438.549061598209
Grewal,Silica,0.195871370919946,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.085725,0.074240027739421,0,0,463.43962420833
Grewal,Silica,0.246893593293969,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.085725,0.074240027739421,0,0,480.049161877831
Grewal,Silica,0.308028321926714,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.085725,0.074240027739421,0,0,493.197560801773
Grewal,Silica,0.357001466160738,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.085725,0.074240027739421,0,0,495.882982796658
Grewal,Silica,0.402090255569236,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.085725,0.074240027739421,0,0,496.964510958657
Grewal,Silica,0.0930658897279855,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.1143,0.0989867036525613,0,0,420.734179439197
Grewal,Silica,0.144335745377676,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.1143,0.0989867036525613,0,0,444.00518470512
Grewal,Silica,0.19533041428156,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.1143,0.0989867036525613,0,0,476.563657670231
Grewal,Silica,0.245844465278209,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.1143,0.0989867036525613,0,0,487.320014652428
Grewal,Silica,0.303885870496281,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.1143,0.0989867036525613,0,0,490.988757079658
Grewal,Silica,0.356493643496476,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.1143,0.0989867036525613,0,0,489.827916852446
Grewal,Silica,0.436048451977863,NaN,0.0273549991,NaN,293.15,100000,0.000167,2670,0.44,0.81,0.0127,0.1143,0.0989867036525613,0,0,490.810242776138
Grewal,Silica,0.295123798814806,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,250.836843008686
Grewal,Silica,0.329190939158679,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,264.169906278966
Grewal,Silica,0.364479543255119,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,273.648748669711
Grewal,Silica,0.403457041618237,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,282.320313090048
Grewal,Silica,0.437502452665872,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,286.115582409283
Grewal,Silica,0.475032872502462,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,289.610656047238
Grewal,Silica,0.512154596784637,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,293.714030691064
Grewal,Silica,0.555623124093167,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,293.664966184902
Grewal,Silica,0.329997234659028,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,258.082941398606
Grewal,Silica,0.366124728116006,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,275.781509835559
Grewal,Silica,0.401405472658274,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,281.810511861032
Grewal,Silica,0.43771073026225,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,287.536352088984
Grewal,Silica,0.473395778324447,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,291.029201139758
Grewal,Silica,0.511744051863944,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,293.510604552165
Grewal,Silica,0.53901315954937,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,292.934683648598
Grewal,Silica,0.545989649740915,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.028575,0.0247466759131403,0,0,295.175337292732
Grewal,Silica,0.293277964698843,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.05715,0.0494933518262807,0,0,250.631686635312
Grewal,Silica,0.330042311404914,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.05715,0.0494933518262807,0,0,277.868790552371
Grewal,Silica,0.366976100362242,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.05715,0.0494933518262807,0,0,289.480394108964
Grewal,Silica,0.403297539331962,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.05715,0.0494933518262807,0,0,302.308846853651
Grewal,Silica,0.442071383346058,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.05715,0.0494933518262807,0,0,311.588959456212
Grewal,Silica,0.474473921156483,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.05715,0.0494933518262807,0,0,314.266126540561
Grewal,Silica,0.512205452589718,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.05715,0.0494933518262807,0,0,316.036527172234
Grewal,Silica,0.558753298142566,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.05715,0.0494933518262807,0,0,317.614624600913
Grewal,Silica,0.364527625094952,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.05715,0.0494933518262807,0,0,294.753654433726
Grewal,Silica,0.436530182349783,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.05715,0.0494933518262807,0,0,309.350036046552
Grewal,Silica,0.474058752904265,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.05715,0.0494933518262807,0,0,312.033382539737
Grewal,Silica,0.548691248221769,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.05715,0.0494933518262807,0,0,311.007229908339
Grewal,Silica,0.294328367962576,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.085725,0.074240027739421,0,0,261.692704864568
Grewal,Silica,0.328396664118288,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.085725,0.074240027739421,0,0,275.53309760033
Grewal,Silica,0.365337850288218,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.085725,0.074240027739421,0,0,290.391609736002
Grewal,Silica,0.400830570991081,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.085725,0.074240027739421,0,0,299.464835730715
Grewal,Silica,0.43631681916448,NaN,0.22220676192,NaN,293.15,100000,0.000504,2670,0.42,0.88,0.0127,0.085725,0.074240027739421,0,0,305.697016718734
