Run,p0,mDotSand,mDotS,Tbed2,rho_g2,D2,Ar2,w_e2,wmf2,FG2,Tleft,Tcenter,Tright,epsLeft,epsCenter,epsRight,AC1,AC2,AC1set,AC2set,air1,air2,air3,air4,h1,h2,h3,h4,h5,h6,w_p1,w_p2,w_p3,w_p4,w_p5,w_p6,Phi1,Phi2,Phi3,Phi4,Phi5,Phi6,pi1,pi2,pi3,pi4,pi5,Phigate,baffleCorr1,baffleCorr2,baffleCorr3
1,101314.401888021,0.75,1.5,323.156374359131,1.12790700917808,0.932784218075561,403.69079896954,0.0445069356783822,0.0284492804973149,2.56443186365153,314.969274139404,331.343474578857,343.00974299113,0.469826342589838,0.471131879960729,0.47243741733162,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0145191928261726,0.0436125255963103,0.0366293129940609,0.0118847949064319,0.4755,0.4755,0.4755,0.4755,0.4755,0.475508617237893,0.00225642487189841,0.00225642487189841,0.00225085477439536,0.00225085477439536,0.00224531210930186,0.00224527145100933,664.768421355859,664.768421355859,666.413496358484,666.413496358484,668.05857136111,668.070678237316,129203.993863658,1.07572915958415,0.0543360012257476,0.000425806520504571,0.00102702668598699,10991.8572182913,1,113.394306922196,1
2,101314.628515625,0.75,1.5,324.570904795329,1.12301629766411,0.8124085003844,399.291010314142,0.0435787533677704,0.0283570455668382,2.53678769856142,318.223564656576,330.918244934082,341.533446502686,0.470194988610121,0.471693969301607,0.473192949993093,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0142540031732182,0.0428160848754739,0.0361667327761872,0.0117336125784187,0.4755,0.4755,0.4755,0.4755,0.4755,0.475540674005701,0.00225966097644344,0.00225966097644344,0.00225324956340596,0.00225324956340596,0.00224687443007194,0.00224668289438834,663.816393537454,663.816393537454,665.705221632278,665.705221632278,667.594049727103,667.651155351045,112530.230319513,1.05329506562292,0.0543838227429321,0.000423959400369916,0.00103042732856142,10990.9136495307,1,108.167552464043,1
3,101316.948372396,1.5,3,325.455138142904,1.12024342716825,2.40033307503253,396.666282884619,0.0413969980502779,0.0282996717044048,2.46280808628774,324.524987284342,326.385289001465,337.592352294922,0.469256969131011,0.469527187798267,0.469797406465524,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0137769001552589,0.0413809402091446,0.0356597023896816,0.0115750894439223,0.4755,0.4755,0.4755,0.4755,0.477061350034926,0.489486450682335,0.00449037914009557,0.00449037914009557,0.00448809177637248,0.00448809177637248,0.00447115062087817,0.00435793241959233,668.095033047955,668.095033047955,668.435528835099,668.435528835099,670.972015094169,688.447534371783,332480.560763643,1.00056220998297,0.10827209453544,0.000422912147819666,0.00103255319963265,10994.6596689224,1,16.7127046213575,1
4,101316.812174479,1.5,3,326.805783208211,1.11555060178617,0.48861724999425,392.531266698574,0.0426054104874646,0.0282125434289941,2.51015843911239,326.393553670247,327.218012746175,337.667053222656,0.468738249150577,0.472426480393845,0.476114711637113,0.440648972988129,0.600000023841858,0.4805,0.4805,0.0139400716864759,0.0418705327943497,0.0361509012253142,0.0117371158304787,0.4755,0.4755,0.4755,0.4755,0.476842416356552,0.488926032360985,0.00454452667199663,0.00454452667199663,0.00451275618952428,0.00451275618952428,0.00446882782008085,0.00435863536404681,660.134754733865,660.134754733865,664.782202717726,664.782202717726,671.319563031056,688.33140496809,67680.4977470368,1.02976944421899,0.108542092048362,0.000421139775289032,0.00103580022888532,10986.7110483144,36.1624754833145,1,1
5,101320.199739583,3,6,327.919544474284,1.11475529513823,0.1777158348195,390.230297916679,0.0423646952852446,0.0281406500956565,2.50546246088178,328.758051554362,327.081037394206,334.656834157308,0.467129496429858,0.472739445857395,0.478349395284932,0.360640161732833,0.600000023841858,0.4805,0.4805,0.0138683779153341,0.0416559856418096,0.0367556416586637,0.0119444160063197,0.475723551672167,0.4755,0.475798781596978,0.480411452830778,0.499854044060971,0.531232252208174,0.00912371249657271,0.0091279896716777,0.00902520677728792,0.00893856619303074,0.00850046928607904,0.00799847802242534,657.627917778512,657.318885736339,664.805312499777,671.250323415427,705.847311851406,750.156694029207,24616.1922409728,1.02395137657995,0.210750062815634,0.00042083940682845,0.0010384789723821,10982.6797768133,98.3599106316613,1,1
6,101321.226432292,3,6,328.648076502482,1.11238622470715,0.194671757214318,388.090431313992,0.0443159256509022,0.0280940854046845,2.57741262668564,329.616859181722,327.679293823242,335.012966918945,0.466731218938627,0.469359620998535,0.471988023058442,0.547224472463131,0.600000023841858,0.4805,0.4805,0.0142125157602076,0.04269032367009,0.0376734856067723,0.012243374020449,0.475694357975626,0.4755,0.476077528984195,0.480712672330574,0.500704653714452,0.531451330073495,0.00901434276534511,0.00901801765869906,0.0089624796751613,0.00887607248651677,0.0084796937319047,0.0079892245274535,665.606643692837,665.334691844633,669.458795097773,675.976719786203,707.576924948866,751.026967901605,26964.8307048317,1.07111246213685,0.209743757051666,0.000419944666176959,0.00104023046157082,10990.8942092374,91.5269165263742,1,1
7,101303.219075521,0.75,1.5,329.525471623739,1.10565282369808,0.316458061308434,384.181763271953,0.0600300139269482,0.0280387629910401,3.14096514258926,328.383730570475,330.667212677002,341.709442392985,0.479885484869332,0.483733655621059,0.487581826372786,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0171839827741798,0.0516079487548713,0.0445499850599513,0.0145880845628492,0.4755,0.4755,0.4755,0.4755,0.4755,0.475593133571116,0.00232311302425022,0.00232311302425022,0.00230579689336117,0.00230579689336117,0.00228873699615329,0.00228829026541716,645.685330133312,645.685330133312,650.534313893295,650.534313893295,655.383297653276,655.511663977062,43833.98069894,1.45092074857956,0.0555247626500708,0.000417401632072148,0.00104233830666192,10971.7762343027,1,289.109279748312,1
8,101303.433268229,0.75,1.5,329.230735905965,1.10665825762634,0.386737831356618,385.054596420831,0.0600851259341819,0.0280575032871285,3.14150052305658,327.861913299561,330.59955851237,338.917555745443,0.479578917220903,0.48272778075826,0.485876644295617,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0172144329230579,0.051698183277618,0.0446698107270912,0.0146312664112073,0.4755,0.4755,0.4755,0.4755,0.4755,0.475529757245771,0.00231540800433965,0.00231540800433965,0.00230131309731051,0.00230131309731051,0.00228738875577257,0.00228724578664077,647.833987439201,647.833987439201,651.801791661036,651.801791661036,655.76959588287,655.810634572741,53568.7369288201,1.45225280149043,0.0554542827175235,0.000417781358043813,0.00104162974369455,10973.9439227216,1,276.696074026374,1
9,101305.525716146,1.5,3,327.179921595256,1.11410233824738,3.16316728884475,391.341546087801,0.0596609418066991,0.0281885235094241,3.11649744948035,328.375949350993,325.983893839518,336.125307718913,0.483633151228115,0.484403129256132,0.485173107284149,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0172710482652477,0.0518728432030079,0.0453102073324526,0.0148481294726433,0.4755,0.4755,0.4755,0.4755,0.4755,0.48586864147437,0.00462448776417324,0.00462448776417324,0.00461758168275325,0.00461758168275325,0.00461069619727573,0.00451256631431784,648.720496838927,648.720496838927,649.69072690258,649.69072690258,650.660956966232,664.849117185273,438144.041309792,1.44200030425577,0.111523377839674,0.000420592800630192,0.0010366996192351,10974.5173693173,1,87.3381559356496,1
10,101305.79634979,1.5,3,327.308350250501,1.11397362562408,0.936664724327198,391.063254481168,0.0600853629808532,0.028180234177873,3.1321813771934,328.444490320542,326.172210180459,338.35184485171,0.477897982937026,0.480498240262933,0.48309849758884,0.511034731103593,0.600000023841858,0.4805,0.4805,0.017350815352834,0.0521125363914993,0.0454451562668808,0.0148918337621266,0.475500224196358,0.4755,0.4755,0.4755,0.4755,0.485848106761283,0.00460592498270248,0.00460592715425696,0.00458287314991343,0.00458287314991343,0.004560048780169,0.00446318522659909,651.334967752444,651.334660650744,654.611179900684,654.611179900684,657.887699150626,672.205032794676,129741.499640673,1.45225853088997,0.1104918545175,0.00042054418896566,0.00103700849257172,10977.1722229141,47.1386073788781,1,1
