Run,Tco2,FG2,mDot_p,mode,Tbed,FG,w_p
1,350,2.5,0.75,0,331,2.6,0.0030
2,350,2.5,0.75,1,331,2.6,0.0030
3,350,2.5,1.50,0,326,2.5,0.0060
4,350,2.5,1.50,1,327,2.6,0.0060
5,350,2.5,3.00,0,327,2.8,0.0120
6,350,2.5,3.00,1,328,2.9,0.0120
7,350,3.1,0.75,0,331,3.2,0.0030
8,350,3.1,0.75,1,331,3.2,0.0030
9,350,3.1,1.50,0,326,3.2,0.0060
10,350,3.1,1.50,1,326,3.2,0.0060
11,350,3.1,3.00,0,326,3.3,0.0120
12,350,3.1,3.00,1,326,3.3,0.0120
13,350,3.7,0.75,0,329,3.8,0.0030
14,350,3.7,0.75,1,330,3.8,0.0030
15,350,3.7,1.50,0,326,3.8,0.0060
16,350,3.7,1.50,1,326,3.8,0.0060
17,350,3.7,3.00,0,325,3.9,0.0120
18,350,3.7,3.00,1,325,3.9,0.0120
19,460,2.5,0.30,0,397,2.6,0.0012
20,460,2.5,0.30,1,406,2.6,0.0012
21,460,2.5,0.75,0,384,2.5,0.0030
22,460,2.5,0.75,1,384,2.5,0.0030
23,460,2.5,1.50,0,383,2.7,0.0060
24,460,2.5,1.50,1,385,2.6,0.0060
25,460,2.5,3.00,0,385,2.9,0.0120
26,460,2.5,3.00,1,387,2.9,0.0120
27,460,3.1,0.30,0,396,3.2,0.0012
28,460,3.1,0.30,1,405,3.2,0.0012
29,460,3.1,0.75,0,395,3.2,0.0030
30,460,3.1,0.75,1,393,3.2,0.0030
31,460,3.1,1.50,0,392,3.2,0.0060
32,460,3.1,1.50,1,392,3.2,0.0060
33,460,3.1,3.00,0,393,3.4,0.0120
34,460,3.1,3.00,1,393,3.5,0.0120
35,460,3.7,0.30,0,401,3.7,0.0012
36,460,3.7,0.30,1,410,3.8,0.0012
37,460,3.7,0.75,0,399,3.7,0.0030
38,460,3.7,0.75,1,396,3.7,0.0030
39,460,3.7,1.50,0,395,3.8,0.0060
40,460,3.7,1.50,1,395,3.8,0.0060
41,460,3.7,3.00,0,395,3.9,0.0120
42,460,3.7,3.00,1,394,3.9,0.0120
43,460,2.5,3.00,1,395,2.9,0.0120
44,460,2.5,3.00,0,394,2.9,0.0120
45,460,2.5,1.50,1,394,2.7,0.0060
46,460,2.5,1.50,0,395,2.6,0.0060
47,460,2.5,0.75,1,397,2.5,0.0030
48,460,2.5,0.75,0,398,2.5,0.0030
49,460,2.5,0.30,1,408,2.6,0.0012
50,460,2.5,0.30,0,416,2.7,0.0012
51,570,2.5,0.30,0,411,2.4,0.0012
52,570,2.5,0.30,1,425,2.4,0.0012
53,570,2.5,0.75,0,401,2.4,0.0030
54,570,2.5,0.75,1,408,2.4,0.0030
55,570,2.5,1.50,0,423,2.6,0.0060
56,570,2.5,1.50,1,428,2.7,0.0060
57,570,2.5,3.00,0,434,2.8,0.0120
58,570,2.5,3.00,1,438,3.1,0.0120
59,570,3.1,0.30,0,440,3.0,0.0012
60,570,3.1,0.30,1,446,3.1,0.0012
61,570,3.1,0.75,0,435,3.1,0.0030
62,570,3.1,0.75,1,437,3.0,0.0030
63,570,3.1,1.50,0,447,3.2,0.0060
64,570,3.1,1.50,1,447,3.2,0.0060
65,570,3.1,3.00,0,451,3.4,0.0120
66,570,3.1,3.00,1,452,3.4,0.0120
67,570,3.1,1.50,1,450,3.4,0.0060
68,570,3.7,0.30,0,451,3.6,0.0012
69,570,3.7,0.30,1,456,3.6,0.0012
70,570,3.7,0.75,0,447,3.7,0.0030
71,570,3.7,0.75,1,449,3.7,0.0030
72,570,3.7,1.50,0,456,3.8,0.0060
73,570,3.7,1.50,1,456,3.8,0.0060
74,570,3.7,3.00,0,457,4.0,0.0120
75,570,3.7,3.00,1,457,3.9,0.0120
